#{"t_start": 1748654011.4573238, "env_id": "None"}
r,l,t
-50.0,2,2279.826634
-50.0,1,2282.930886
-50.0,1,2284.243043
-50.0,2,2284.243104
-50.0,1,2286.522716
-44.0,2,2287.547446
-50.0,1,2287.547507
-50.0,1,2288.692227
-50.0,1,2288.692285
-50.0,2,2294.364153
-47.0,2,2294.364214
-41.0,2,2299.542135
-50.0,2,2299.542196
-50.0,1,2301.275191
-32.0,1,2301.275254
-50.0,1,2303.336538
-44.0,2,2305.029376
-32.0,1,2305.029429
-50.0,1,2307.282374
-44.0,2,2308.999569
-32.0,1,2308.99963
-50.0,1,2311.224352
-41.0,2,2313.203962
-50.0,1,2314.268906
-44.0,2,2314.268966
-50.0,1,2315.398867
-50.0,1,2315.398924
-32.0,1,2317.785748
-32.0,1,2317.78581
-50.0,1,2319.02415
-50.0,1,2319.024262
