#{"t_start": 1748716358.5233672, "env_id": "None"}
r,l,t
-100.0,1,4661.405119
-110.0,2,4661.405187
-110.0,2,4678.5582
-110.0,2,4678.558264
-102.5,1,4686.663831
-105.0,1,4686.663895
-100.0,1,4694.07127
-100.0,1,4699.074413
-110.0,2,4699.07448
-100.0,1,4707.757143
-110.0,2,4716.344865
-110.0,2,4722.375212
-102.5,1,4722.375279
-100.0,1,4731.277854
-110.0,2,4736.360395
-100.0,1,4736.360473
-100.0,1,4741.227754
-100.0,1,4741.227823
-100.0,1,4746.454017
-100.0,1,4746.454095
-100.0,1,4751.671116
-100.0,1,4751.671181
-100.0,1,4756.875082
-100.0,1,4756.875183
-100.0,1,4762.618542
-100.0,1,4762.618693
-100.0,1,4767.653226
-100.0,1,4767.653287
-105.0,1,4775.696573
-100.0,1,4775.696654
-100.0,1,4783.869056
-110.0,2,4789.222653
-100.0,1,4789.222722
-100.0,1,4794.90752
-100.0,1,4794.907587
-100.0,1,4802.638242
-100.0,1,4807.788697
-110.0,2,4807.788763
-100.0,1,4816.591931
-100.0,1,4822.049109
-110.0,2,4822.049171
-100.0,1,4830.007093
-105.0,1,4830.007159
-102.5,1,4838.83617
-110.0,2,4846.604831
-110.0,2,4855.713004
-100.0,1,4860.845311
-110.0,2,4860.845375
-100.0,1,4867.983275
-102.5,1,4867.983402
-110.0,2,4882.216261
-110.0,2,4882.216316
-100.0,1,4891.587308
-110.0,2,4900.569157
-110.0,2,4906.829064
-100.0,1,4906.82912
-100.0,1,4916.18969
-100.0,1,4921.371772
-110.0,2,4921.371829
-110.0,2,4937.853366
-110.0,2,4937.853431
-100.0,1,4944.282373
-110.0,2,4948.403145
-100.0,1,4948.403268
-100.0,1,4954.626946
-110.0,2,4958.641369
-100.0,1,4958.64143
-100.0,1,4965.673644
-100.0,1,4969.918048
-110.0,2,4969.918107
-102.5,1,4977.896843
-110.0,2,4981.934218
-100.0,1,4981.934278
-102.5,1,4989.65083
-110.0,2,4997.54444
-100.0,1,5001.244686
-110.0,2,5001.244745
-100.0,1,5007.842193
-110.0,2,5013.918497
-110.0,2,5017.823919
-100.0,1,5017.823976
-102.5,1,5024.954685
-110.0,2,5031.594646
-110.0,2,5037.85622
-100.0,1,5041.726815
-110.0,2,5041.726874
-100.0,1,5047.902367
